2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      275.0851
492      275.0956
492      275.1064
492      275.1207
492      275.1291
492      275.1425
492      275.1514
492      275.1637
492      275.1749
492      275.1873
492      275.1954
492      275.2063
492      275.2181
492      275.2285
492      275.2428
492      275.251
492      275.2622
492      275.2723
492      275.2831
492      275.2951
492      275.3059
492      275.3171
492      275.3288
492      275.3391
492      275.351
492      275.3614
492      275.3727
492      275.384
492      275.3977
492      275.4078
492      275.4173
492      275.4295
492      275.4393
492      275.4504
492      275.4611
492      275.4749
492      275.4868
492      275.4967
492      275.5372
492      275.5631
492      275.5847
492      275.5904
492      275.5958
492      275.6058
492      275.617
492      275.6295
492      275.6505
492      275.6562
492      275.6628
492      275.6719
492      275.6832
492      275.6943
492      275.7065
492      275.7174
492      275.7283
492      275.7397
492      275.7505
492      275.7615
492      275.7723
492      275.7852
492      275.7949
492      275.8068
492      275.8178
492      275.8327
492      275.8428
492      275.8529
492      275.8637
492      275.8764
492      275.8867
492      275.8982
492      275.9094
492      275.9308
492      275.9365
492      275.9426
492      275.9507
492      275.9614
492      275.9729
492      275.9828
492      275.9952
492      276.0176
492      276.0241
492      276.0297
492      276.039
492      276.0499
492      276.0612
492      276.0726
492      276.0834
492      276.0946
492      276.1055
492      276.1164
492      276.1284
492      276.1395
492      276.1508
492      276.1617
492      276.1735
492      276.1844
492      276.1956
492      276.2069
492      276.233
492      276.2416
492      276.2485
492      276.2568
492      276.2628
492      276.273
492      276.2835
492      276.2969
492      276.3065
492      276.3178
492      276.3293
492      276.3395
492      276.3507
492      276.3625
492      276.3725
492      276.3847
492      276.3952
492      276.4065
492      276.418
492      276.4292
492      276.4402
492      276.4523
492      276.4612
492      276.4737
492      276.4841
492      276.4951
492      276.5071
492      276.5178
492      276.5292
492      276.5395
492      276.5509
492      276.5627
492      276.5721
492      276.5845
492      276.5971
492      276.6064
492      276.6185
492      276.6284
492      276.6407
492      276.6508
492      276.6619
492      276.6726
492      276.6845
492      276.695
492      276.7063
492      276.7166
492      276.7277
492      276.7402
492      276.7512
492      276.7617
492      276.7727
492      276.7848
492      276.7956
492      276.807
492      276.8176
492      276.829
492      276.839
492      276.8502
492      276.8613
492      276.8725
492      276.8832
492      276.8942
492      276.9074
492      276.9162
492      276.9288
492      276.9396
492      276.9501
492      276.9612
492      276.9722
492      276.9848
492      276.9951
492      277.0063
492      277.018
492      277.0293
492      277.0389
492      277.0497
492      277.0623
492      277.0717
492      277.084
492      277.094
492      277.1064
492      277.1182
492      277.1282
492      277.1398
492      277.1497
492      277.1628
492      277.1718
492      277.1844
492      277.1952
492      277.2057
492      277.2187
492      277.2277
492      277.239
492      277.2505
492      277.261
492      277.274
492      277.2853
492      277.2935
492      277.3062
492      277.3169
492      277.3279
492      277.3391
492      277.3497
492      277.3606
492      277.3786
492      277.3849
492      277.3949
492      277.4058
492      277.4167
492      277.4283
492      277.4397
492      277.4495
492      277.4612
492      277.4723
492      277.4849
492      277.4948
492      277.5055
492      277.5179
492      277.5293
492      277.5405
492      277.5515
492      277.5638
492      277.5729
492      277.5839
492      277.5945
492      277.608
492      277.6177
